City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,karbala,32.616,44.0249,81.34,18,18,9.57,IQ,1683430806
216,mangrol,21.1167,70.1167,84.06,67,13,9.75,IN,1683430807
217,gamba,-2.65,10.0,77.74,88,100,4.29,GA,1683430807
218,umm kaddadah,13.6017,26.6876,82.0,15,79,18.14,SD,1683430807
219,zaozersk,69.4005,32.4476,30.6,88,38,6.8,RU,1683430807
220,sao vicente,-23.9631,-46.3919,77.18,26,30,1.01,BR,1683430809
221,ljusdal,61.8288,16.0913,35.78,72,83,3.27,SE,1683430809
222,san patricio,28.017,-97.5169,78.91,86,98,15.99,US,1683430809
223,baglung,28.2719,83.5898,79.21,40,8,4.88,NP,1683430811
224,kostomuksha,64.571,30.5767,29.03,95,82,4.14,RU,1683430811
225,taoudenni,22.6783,-3.9836,90.41,11,100,11.32,ML,1683430812
226,ghazni,33.5536,68.4269,55.8,20,0,3.65,AF,1683430813
227,hadibu,12.65,54.0333,84.0,70,32,5.37,YE,1683430813
228,semirom,31.4167,51.5667,57.97,19,0,0.43,IR,1683430813
229,magpet,7.1119,125.1133,86.58,72,97,1.83,PH,1683430814
230,brisas de zicatela,15.8369,-97.0419,84.72,74,100,5.75,MX,1683430814
231,hirara,24.8,125.2833,82.67,83,75,20.71,JP,1683430814
232,shengli,37.4564,118.4856,70.47,19,18,17.9,CN,1683430816
233,lesnoy,57.6198,63.0784,65.25,33,48,8.08,RU,1683430816
234,acapulco de juarez,16.8634,-99.8901,84.02,79,20,10.36,MX,1683430609
235,port mathurin,-19.6833,63.4167,79.02,71,4,19.51,MU,1683430817
236,kununurra,-15.7667,128.7333,87.78,25,16,16.11,AU,1683430817
237,xinpu,34.5997,119.1594,68.16,44,5,17.02,CN,1683430817
238,mount gambier,-37.8333,140.7667,53.53,50,94,9.98,AU,1683430818
239,sovetskaya gavan',48.9723,140.2878,49.73,50,58,8.32,RU,1683430818
240,bandarbeyla,9.4942,50.8122,86.97,65,52,12.48,SO,1683430819
241,alaior,39.9303,4.1404,64.15,88,0,6.91,ES,1683430819
242,fuling,29.7022,107.3919,68.4,90,100,3.62,CN,1683430820
243,kerman,30.2832,57.0788,55.26,33,0,0.0,IR,1683430820
244,erenhot,43.6475,111.9767,56.19,18,6,2.86,CN,1683430820
245,ar ruways,24.1103,52.7306,76.57,54,1,2.8,AE,1683430821
246,sharypovo,55.5403,89.2008,68.54,37,11,5.08,RU,1683430821
247,toliara,-23.35,43.6667,70.21,76,0,4.7,MG,1683430822
248,ibiza,38.9088,1.433,65.8,80,0,3.0,ES,1683430637
249,kristiansund,63.1115,7.732,45.25,49,100,5.75,NO,1683430822
250,nikolayevsk-on-amure,53.1406,140.73,53.85,43,68,1.95,RU,1683430824
251,ingeniero jacobacci,-41.3427,-69.5448,49.75,67,0,9.98,AR,1683430825
252,lagoa,39.05,-27.9833,62.08,96,100,24.92,PT,1683430826
253,keflavik,64.0049,-22.5624,51.71,87,75,12.66,IS,1683430826
254,jamestown,42.097,-79.2353,56.84,67,0,6.91,US,1683430827
255,xiva,41.3783,60.3639,60.78,50,44,6.64,UZ,1683430828
256,kitimat,54.0524,-128.6534,53.98,65,100,2.04,CA,1683430828
257,chibuto,-24.6867,33.5306,63.28,94,0,5.82,MZ,1683430829
258,pontianak,-0.0333,109.3333,88.99,62,75,4.61,ID,1683430829
259,undurkhaan,47.3194,110.6556,60.67,18,14,8.08,MN,1683430830
260,boonville,38.9736,-92.7432,79.57,73,0,16.11,US,1683430830
261,port alfred,-33.5906,26.891,60.67,87,44,11.48,ZA,1683430830
262,sinabang,2.4803,96.3801,80.01,85,100,6.49,ID,1683430831
263,thinadhoo,0.5333,72.9333,84.15,74,100,18.5,MV,1683430831
264,buka,40.8108,69.1986,65.44,46,48,6.91,UZ,1683430832
265,vilyuchinsk,52.9306,158.4028,52.07,74,86,7.72,RU,1683430832
266,privolzhsk,57.3808,41.2886,33.84,64,15,12.68,RU,1683430832
267,turkmenbasy,40.0222,52.9552,56.17,82,0,0.0,TM,1683430832
268,kashgar,39.4547,75.9797,49.21,40,75,8.95,CN,1683430833
269,ust'-kut,56.7938,105.7672,45.21,58,94,11.32,RU,1683430835
270,kingston,17.997,-76.7936,83.35,79,40,10.36,JM,1683430645
271,dire dawa,9.5931,41.8661,72.28,70,50,4.25,ET,1683430835
272,kerikeri,-35.2268,173.9474,65.95,90,100,9.26,NZ,1683430836
273,betio village,1.358,172.9211,86.04,78,44,11.54,KI,1683430836
274,robertsport,6.7533,-11.3686,80.91,80,94,3.96,LR,1683430836
275,haimen,23.1935,116.6142,80.49,77,92,7.7,CN,1683430837
276,edd,13.9297,41.6925,85.91,72,100,4.92,ER,1683430837
277,pathein,16.7833,94.7333,96.19,42,3,14.5,MM,1683430837
